LUTs,Registers,BRAMs,DSPs,WNS (ns),Total Power (W),Dynamic Power (W),Static Power (W),D,H,int bits,frac bits,result,Time Utilization,MAE
26819,240,0,240,8.272,0.088,0.004,0.084,4,8,6,8,success,0.17279999999999998,0.0
16739,176,0,240,8.258,0.087,0.003,0.084,5,8,6,4,success,0.17420000000000008,0.9721484375
24757,208,0,240,8.396,0.088,0.004,0.084,5,8,6,6,success,0.16039999999999993,0.21985677083333333
32795,240,0,240,7.888,0.088,0.005,0.084,5,8,6,8,success,0.2112,0.0
19948,176,0,240,8.279,0.088,0.004,0.084,6,8,6,4,success,0.1721,1.2848372395833334
29253,208,0,240,8.027,0.087,0.003,0.084,6,8,6,6,success,0.1973000000000001,0.25267578125
38874,240,0,240,8.047,0.088,0.004,0.084,6,8,6,8,success,0.19529999999999995,0.0
22822,176,0,240,8.227,0.087,0.003,0.084,7,8,6,4,success,0.17729999999999996,1.05166015625
33446,208,0,240,8.192,0.088,0.004,0.084,7,8,6,6,success,0.1808,0.23125651041666667
45076,240,0,240,8.275,0.088,0.004,0.084,7,8,6,8,success,0.17249999999999996,0.0
25898,176,0,240,7.633,0.088,0.004,0.084,8,8,6,4,success,0.2367,0.891171875
37741,208,0,240,8.348,0.088,0.004,0.084,8,8,6,6,success,0.16519999999999993,0.0
0,0,0,0,0.0,0.0,0.0,0.0,8,8,6,8,"exception: (1, ['C:\\Xilinx\\Vivado\\2024.1\\bin\\vivado.bat', '-mode', 'batch', '-source', 'run_vivado.tcl'])",0.0,0.0
