LUTs,Registers,BRAMs,DSPs,WNS (ns),Total Power (W),Dynamic Power (W),Static Power (W),D,H,int bits,frac bits,result,Time Utilization,Execution Time (min),Part Name,Family Name,MAE
6940,150,0,210,8.243,0.087,0.003,0.084,8,5,6,8,success,0.17569999999999997,1.9925330718358358,xc7a100tcsg324-1,Artix-7,0.0
16222,108,0,0,8.276,0.086,0.003,0.084,4,6,6,2,success,0.17240000000000003,2.438538944721222,xc7a100tcsg324-1,Artix-7,0.2454313435162095
3834,132,0,198,8.292,0.087,0.003,0.084,4,6,6,4,success,0.1708,3.0641618251800535,xc7a100tcsg324-1,Artix-7,0.0672042013064133
5948,156,0,198,8.414,0.086,0.002,0.084,4,6,6,6,success,0.15860000000000002,1.9926700154940287,xc7a100tcsg324-1,Artix-7,0.034190759637188206
7082,180,0,198,8.433,0.087,0.003,0.084,4,6,6,8,success,0.1567,2.232307942708333,xc7a100tcsg324-1,Artix-7,0.0
17741,108,0,0,8.22,0.087,0.003,0.084,5,6,6,2,success,0.17799999999999994,2.4734368403752645,xc7a100tcsg324-1,Artix-7,0.2609065594059406
4140,132,0,216,8.402,0.087,0.003,0.084,5,6,6,4,success,0.15980000000000008,2.0123581409454347,xc7a100tcsg324-1,Artix-7,0.10791843220338983
6306,156,0,216,7.633,0.087,0.003,0.084,5,6,6,6,success,0.2367,2.034968121846517,xc7a100tcsg324-1,Artix-7,0.03517396541950114
7485,180,0,216,8.399,0.087,0.003,0.084,5,6,6,8,success,0.16010000000000008,2.320161434014638,xc7a100tcsg324-1,Artix-7,0.0
19258,108,0,0,8.437,0.087,0.003,0.084,6,6,6,2,success,0.15630000000000005,2.5688061396280926,xc7a100tcsg324-1,Artix-7,0.2817939082278481
4446,132,0,234,7.703,0.087,0.003,0.084,6,6,6,4,success,0.22969999999999996,2.0373306393623354,xc7a100tcsg324-1,Artix-7,0.08180090601965602
6666,156,0,234,8.424,0.087,0.003,0.084,6,6,6,6,success,0.15760000000000005,2.0936858614285785,xc7a100tcsg324-1,Artix-7,0.022944739105504586
7900,180,0,234,8.289,0.087,0.003,0.084,6,6,6,8,success,0.17110000000000003,2.306227385997772,xc7a100tcsg324-1,Artix-7,0.0
20760,108,0,0,8.445,0.086,0.003,0.084,7,6,6,2,success,0.15549999999999997,2.6528873165448505,xc7a100tcsg324-1,Artix-7,0.24587168927648578
6133,132,0,240,8.258,0.086,0.002,0.084,7,6,6,4,success,0.17420000000000008,2.124574653307597,xc7a100tcsg324-1,Artix-7,0.095244140625
8948,156,0,240,8.479,0.087,0.003,0.084,7,6,6,6,success,0.15210000000000007,2.295538902282715,xc7a100tcsg324-1,Artix-7,0.026455166103603604
11264,180,0,240,8.066,0.087,0.003,0.084,7,6,6,8,success,0.19339999999999993,2.6416646679242453,xc7a100tcsg324-1,Artix-7,0.0
22275,108,0,0,8.334,0.086,0.002,0.084,8,6,6,2,success,0.16660000000000003,2.7548646767934164,xc7a100tcsg324-1,Artix-7,0.31763365024937656
8492,132,0,240,8.406,0.087,0.003,0.084,8,6,6,4,success,0.15939999999999993,2.2763346354166667,xc7a100tcsg324-1,Artix-7,0.08804949162679426
12235,156,0,240,8.258,0.087,0.003,0.084,8,6,6,6,success,0.17420000000000008,2.7818952997525535,xc7a100tcsg324-1,Artix-7,0.04950252242152466
15536,180,0,240,8.216,0.087,0.003,0.084,8,6,6,8,success,0.17840000000000006,2.941196111838023,xc7a100tcsg324-1,Artix-7,0.0
20697,126,0,0,8.392,0.087,0.003,0.084,4,7,6,2,success,0.16080000000000005,2.722739628950755,xc7a100tcsg324-1,Artix-7,0.265819466991342
6208,154,0,240,8.184,0.087,0.003,0.084,4,7,6,4,success,0.18160000000000007,2.2049972852071127,xc7a100tcsg324-1,Artix-7,0.10395877100840337
9295,182,0,240,8.38,0.087,0.003,0.084,4,7,6,6,success,0.16199999999999992,2.660847854614258,xc7a100tcsg324-1,Artix-7,0.04254913330078125
11510,210,0,240,8.281,0.087,0.004,0.084,4,7,6,8,success,0.17189999999999994,2.6858993689219157,xc7a100tcsg324-1,Artix-7,0.0
22451,126,0,0,8.226,0.087,0.003,0.084,5,7,6,2,success,0.17739999999999992,2.799751059214274,xc7a100tcsg324-1,Artix-7,0.26766671166306694
8962,154,0,240,8.245,0.087,0.003,0.084,5,7,6,4,success,0.17550000000000007,2.3392896175384523,xc7a100tcsg324-1,Artix-7,0.10566284937888198
13069,182,0,240,8.405,0.087,0.004,0.084,5,7,6,6,success,0.15950000000000006,2.911126494407654,xc7a100tcsg324-1,Artix-7,0.04221343994140625
16635,210,0,240,8.108,0.088,0.004,0.084,5,7,6,8,success,0.18919999999999995,3.0393751660982766,xc7a100tcsg324-1,Artix-7,0.0
24217,126,0,0,8.42,0.087,0.003,0.084,6,7,6,2,success,0.158,2.961393161614736,xc7a100tcsg324-1,Artix-7,0.2204910209276018
11492,154,0,240,7.742,0.087,0.003,0.084,6,7,6,4,success,0.2258,2.434549601872762,xc7a100tcsg324-1,Artix-7,0.07007829229122056
16866,182,0,240,8.439,0.087,0.003,0.084,6,7,6,6,success,0.1561,3.0710257371266683,xc7a100tcsg324-1,Artix-7,0.04003526264591439
22071,210,0,240,8.254,0.088,0.004,0.084,6,7,6,8,success,0.17460000000000003,3.368452556927999,xc7a100tcsg324-1,Artix-7,0.0
25984,126,0,0,7.995,0.087,0.003,0.084,7,7,6,2,success,0.20049999999999998,3.0872685313224792,xc7a100tcsg324-1,Artix-7,0.2747078954646018
14086,154,0,240,8.433,0.087,0.003,0.084,7,7,6,4,success,0.1567,2.6855350335439048,xc7a100tcsg324-1,Artix-7,0.06664324006276151
20644,182,0,240,8.436,0.087,0.003,0.084,7,7,6,6,success,0.1564,3.329059565067291,xc7a100tcsg324-1,Artix-7,0.028903221899224806
27338,210,0,240,7.635,0.088,0.004,0.084,7,7,6,8,success,0.23650000000000002,3.817176465193431,xc7a100tcsg324-1,Artix-7,0.0
27742,126,0,0,8.438,0.087,0.003,0.084,8,7,6,2,success,0.15619999999999995,3.195463784535726,xc7a100tcsg324-1,Artix-7,0.2575273091814159
16717,154,0,240,7.94,0.088,0.004,0.084,8,7,6,4,success,0.20599999999999996,2.7825342377026874,xc7a100tcsg324-1,Artix-7,0.07997115872210954
24491,182,0,240,8.426,0.087,0.003,0.084,8,7,6,6,success,0.15739999999999998,3.5800330440203347,xc7a100tcsg324-1,Artix-7,0.03335394546332046
32523,210,0,240,8.041,0.088,0.004,0.084,8,7,6,8,success,0.19589999999999996,3.991234056154887,xc7a100tcsg324-1,Artix-7,0.0
25653,144,0,0,8.342,0.087,0.003,0.084,4,8,6,2,success,0.16579999999999995,3.1029337286949157,xc7a100tcsg324-1,Artix-7,0.27439367884250476
13695,176,0,240,8.276,0.088,0.004,0.084,4,8,6,4,success,0.17240000000000003,2.6380340337753294,xc7a100tcsg324-1,Artix-7,0.10224340596330275
20514,208,0,240,8.042,0.088,0.004,0.084,4,8,6,6,success,0.19580000000000003,3.351264977455139,xc7a100tcsg324-1,Artix-7,0.044093480603448275
26819,240,0,240,8.272,0.088,0.004,0.084,4,8,6,8,success,0.17279999999999998,4.247033870220184,xc7a100tcsg324-1,Artix-7,0.0
27684,144,0,0,8.394,0.087,0.003,0.084,5,8,6,2,success,0.1606,3.2200588941574098,xc7a100tcsg324-1,Artix-7,0.23338917220113853
16739,176,0,240,8.258,0.087,0.003,0.084,5,8,6,4,success,0.17420000000000008,3.0874022006988526,xc7a100tcsg324-1,Artix-7,0.0820092636022514
24757,208,0,240,8.396,0.088,0.004,0.084,5,8,6,6,success,0.16039999999999993,3.588201852639516,xc7a100tcsg324-1,Artix-7,0.03864665139616056
32795,240,0,240,7.888,0.088,0.005,0.084,5,8,6,8,success,0.2112,4.472008585929871,xc7a100tcsg324-1,Artix-7,0.0
29695,144,0,0,8.349,0.087,0.003,0.084,6,8,6,2,success,0.16509999999999997,3.35849871635437,xc7a100tcsg324-1,Artix-7,0.22285638045540798
19948,176,0,240,8.279,0.088,0.004,0.084,6,8,6,4,success,0.1721,3.2813806374867758,xc7a100tcsg324-1,Artix-7,0.088313618173258
29253,208,0,240,8.027,0.087,0.003,0.084,6,8,6,6,success,0.1973000000000001,3.873708136876424,xc7a100tcsg324-1,Artix-7,0.03312659710391823
38874,240,0,240,8.047,0.088,0.004,0.084,6,8,6,8,success,0.19529999999999995,4.474058818817139,xc7a100tcsg324-1,Artix-7,0.0
31714,144,0,0,8.42,0.087,0.003,0.084,7,8,6,2,success,0.158,3.5020485321680703,xc7a100tcsg324-1,Artix-7,0.19576671511627908
22822,176,0,240,8.227,0.087,0.003,0.084,7,8,6,4,success,0.17729999999999996,3.473699863751729,xc7a100tcsg324-1,Artix-7,0.0871135752688172
33446,208,0,240,8.192,0.088,0.004,0.084,7,8,6,6,success,0.1808,4.120507160822551,xc7a100tcsg324-1,Artix-7,0.030408653846153846
45076,240,0,240,8.275,0.088,0.004,0.084,7,8,6,8,success,0.17249999999999996,4.908223704497019,xc7a100tcsg324-1,Artix-7,0.0
33721,144,0,0,8.427,0.087,0.003,0.084,8,8,6,2,success,0.15730000000000005,3.6364092151323955,xc7a100tcsg324-1,Artix-7,0.2301980198019802
25898,176,0,240,7.633,0.088,0.004,0.084,8,8,6,4,success,0.2367,3.7070505301157635,xc7a100tcsg324-1,Artix-7,0.08004981884057971
37741,208,0,240,8.348,0.088,0.004,0.084,8,8,6,6,success,0.16519999999999993,4.436713703473409,xc7a100tcsg324-1,Artix-7,0.0
0,0,0,0,0.0,0.0,0.0,0.0,8,8,6,8,"exception: (1, ['C:\\Xilinx\\Vivado\\2024.1\\bin\\vivado.bat', '-mode', 'batch', '-source', 'run_vivado.tcl'])",0.0,4.431184295813242,xc7a100tcsg324-1,Artix-7,0.0
