LUTs,Registers,BRAMs,DSPs,WNS (ns),Total Power (W),Dynamic Power (W),Static Power (W),result,Cycles,Clock Period,Frac Width,Num Parallel,Int Bits,D,H,MAE,RMSE,Execution Time (m),Time Utilization
50924,709,0,1032,0.279,3.131,0.183,2.948,success,36.0,10,1.0,4.0,10.0,64,16,0.7614010584812501,0.9194911624781473,10.548079152901968,
54603,1142,0,1032,0.027,3.171,0.223,2.948,success,36.0,10,2.0,4.0,10.0,64,16,1.01006924373125,1.1574551862223066,12.086369093259176,
60179,1393,0,1032,-0.074,3.167,0.219,2.948,success,36.0,10,3.0,4.0,10.0,64,16,0.9390916732812501,1.0722403503793656,15.3273841102918,
64771,1506,0,1032,0.119,3.185,0.237,2.949,success,36.0,10,4.0,4.0,10.0,64,16,0.64002444098125,0.7594340071120249,17.888795228799186,
65923,1617,0,1032,-0.425,3.181,0.233,2.949,success,36.0,10,5.0,4.0,10.0,64,16,0.27805653911875,0.3560365063928123,21.012356928984325,
70927,1736,0,1032,-0.106,3.197,0.248,2.949,success,36.0,10,6.0,4.0,10.0,64,16,0.12189346498125002,0.16220259148785396,18.759955608844756,
75193,1869,0,1032,-0.265,3.214,0.265,2.949,success,36.0,10,7.0,4.0,10.0,64,16,0.05826738945624999,0.08097655801932363,19.876776707172393,
81124,1973,0,1032,-0.927,3.195,0.246,2.949,success,36.0,10,8.0,4.0,10.0,64,16,0.033574943924999996,0.05053242287889409,26.898859095573425,
85696,2085,0,1032,-0.83,3.2,0.251,2.949,success,36.0,10,9.0,4.0,10.0,64,16,0.024583378184374997,0.04184172145540223,25.698248028755188,
131356,2197,0,1032,-2.175,3.211,0.262,2.949,success,36.0,10,10.0,4.0,10.0,64,16,0.0219452739875,0.040049592861202084,27.63862569729487,
159952,2353,0,1032,-1.321,3.194,0.245,2.949,success,36.0,10,11.0,4.0,10.0,64,16,0.021599731202343753,0.03995080493353905,26.62512052456538,
186116,2421,0,1032,-2.299,3.25,0.301,2.95,success,36.0,10,12.0,4.0,10.0,64,16,0.02169135383710937,0.04014095383414298,24.051797803243,
103699,2533,0,2064,-2.535,3.398,0.445,2.953,success,36.0,10,13.0,4.0,10.0,64,16,0.021823017960742187,0.040236565969455636,23.900339070955912,
109733,2645,0,2064,-2.063,3.376,0.424,2.952,success,36.0,10,14.0,4.0,10.0,64,16,0.021937463191210937,0.040291420807008996,36.83737965027491,
115246,2803,0,2064,-2.026,3.396,0.443,2.952,success,36.0,10,15.0,4.0,10.0,64,16,0.02201427913579101,0.04035049574310151,39.24733120997747,
118163,2869,0,2064,-3.345,3.392,0.44,2.952,success,36.0,10,16.0,4.0,10.0,64,16,0.02204026711625976,0.04036369235872383,34.70491352478663,
69015,777,0,2064,0.117,3.367,0.415,2.952,success,28.0,10,1.0,8.0,10.0,64,16,0.7614010584812501,0.9194911624781473,12.653288471698762,
74613,1289,0,2064,0.163,3.339,0.388,2.951,success,28.0,10,2.0,8.0,10.0,64,16,1.01006924373125,1.1574551862223066,14.109712092081706,
81871,1585,0,2064,0.031,3.359,0.408,2.952,success,28.0,10,3.0,8.0,10.0,64,16,0.9390916732812501,1.0722403503793656,16.65873506863912,
87740,1714,0,2064,0.0,3.408,0.455,2.953,success,28.0,10,4.0,8.0,10.0,64,16,0.64002444098125,0.7594340071120249,17.68741493622462,
87637,1841,0,2064,-0.298,3.368,0.416,2.952,success,28.0,10,5.0,8.0,10.0,64,16,0.27805653911875,0.3560365063928123,25.34916156133016,
93136,1970,0,2064,-0.067,3.4,0.448,2.953,success,28.0,10,6.0,8.0,10.0,64,16,0.12189346498125002,0.16220259148785396,21.9179029862086,
98434,2121,0,2064,-0.414,3.457,0.503,2.954,success,28.0,10,7.0,8.0,10.0,64,16,0.05826738945624999,0.08097655801932363,19.646132524808248,
