==========================================================
GRU Cell Parallel Cycle Count Results
==========================================================
Parameters:
  D (Input Dimension):     64
Test Vector  91: 1064 cycles (10.64 us @ 100MHz)
Test Vector  92: 1064 cycles (10.64 us @ 100MHz)
Test Vector  93: 1064 cycles (10.64 us @ 100MHz)
Test Vector  94: 1064 cycles (10.64 us @ 100MHz)
Test Vector  95: 1064 cycles (10.64 us @ 100MHz)
Test Vector  96: 1064 cycles (10.64 us @ 100MHz)
Test Vector  97: 1064 cycles (10.64 us @ 100MHz)
Test Vector  98: 1064 cycles (10.64 us @ 100MHz)
Test Vector  99: 1064 cycles (10.64 us @ 100MHz)
Test Vector 100: 1064 cycles (10.64 us @ 100MHz)

==========================================================
SUMMARY
==========================================================
Total Test Vectors: 100
Total Cycles:       106400
Average Cycles:     1064.00
Total Time:         1064.00 us @ 100MHz
Average Time:       10.64 us @ 100MHz
Throughput:         93.98 computations/ms @ 100MHz
==========================================================
