==========================================================
GRU Cell Parallel Cycle Count Results
==========================================================
Parameters:
  D (Input Dimension):     64
  H (Hidden Dimension):    16
  DATA_WIDTH:              11
  FRAC_BITS:               5
  NUM_PARALLEL:            1
  Total Test Vectors:      100
==========================================================

Test Vector  34: 4232 cycles (42.32 us @ 100MHz)
Test Vector  35: 4232 cycles (42.32 us @ 100MHz)
Test Vector  36: 4232 cycles (42.32 us @ 100MHz)
Test Vector  37: 4232 cycles (42.32 us @ 100MHz)
Test Vector  38: 4232 cycles (42.32 us @ 100MHz)
Test Vector  39: 4232 cycles (42.32 us @ 100MHz)
Test Vector  40: 4232 cycles (42.32 us @ 100MHz)
Test Vector  41: 4232 cycles (42.32 us @ 100MHz)
Test Vector  42: 4232 cycles (42.32 us @ 100MHz)
Test Vector  43: 4232 cycles (42.32 us @ 100MHz)
Test Vector  44: 4232 cycles (42.32 us @ 100MHz)
Test Vector  45: 4232 cycles (42.32 us @ 100MHz)
Test Vector  46: 4232 cycles (42.32 us @ 100MHz)
Test Vector  47: 4232 cycles (42.32 us @ 100MHz)
Test Vector  48: 4232 cycles (42.32 us @ 100MHz)
Test Vector  49: 4232 cycles (42.32 us @ 100MHz)
Test Vector  50: 4232 cycles (42.32 us @ 100MHz)
Test Vector  51: 4232 cycles (42.32 us @ 100MHz)
Test Vector  52: 4232 cycles (42.32 us @ 100MHz)
Test Vector  53: 4232 cycles (42.32 us @ 100MHz)
Test Vector  54: 4232 cycles (42.32 us @ 100MHz)
Test Vector  55: 4232 cycles (42.32 us @ 100MHz)
Test Vector  56: 4232 cycles (42.32 us @ 100MHz)
Test Vector  57: 4232 cycles (42.32 us @ 100MHz)
Test Vector  58: 4232 cycles (42.32 us @ 100MHz)
Test Vector  59: 4232 cycles (42.32 us @ 100MHz)
Test Vector  60: 4232 cycles (42.32 us @ 100MHz)
Test Vector  61: 4232 cycles (42.32 us @ 100MHz)
Test Vector  62: 4232 cycles (42.32 us @ 100MHz)
Test Vector  63: 4232 cycles (42.32 us @ 100MHz)
Test Vector  64: 4232 cycles (42.32 us @ 100MHz)
Test Vector  65: 4232 cycles (42.32 us @ 100MHz)
Test Vector  66: 4232 cycles (42.32 us @ 100MHz)
Test Vector  67: 4232 cycles (42.32 us @ 100MHz)
Test Vector  68: 4232 cycles (42.32 us @ 100MHz)
Test Vector  69: 4232 cycles (42.32 us @ 100MHz)
Test Vector  70: 4232 cycles (42.32 us @ 100MHz)
Test Vector  71: 4232 cycles (42.32 us @ 100MHz)
Test Vector  72: 4232 cycles (42.32 us @ 100MHz)
